iter	RMSE
0	679.8464648
1	671.0489515
2	662.832251
3	654.5158675
4	646.106684
5	637.5776039
6	629.3761549
7	622.7367945
8	616.2706031
9	610.4751475
10	604.4331238
11	598.7139476
12	592.9651455
13	587.0086991
14	581.3666967
15	576.0811191
16	571.2848538
17	566.1842292
18	561.7388747
19	557.9389339
20	553.403076
21	550.1950866
22	545.7345589
23	542.2545109
24	538.278095
25	536.1037347
26	532.6859504
27	530.4154173
28	527.7667302
29	525.3836629
30	522.9608754
31	520.3764112
32	517.7811378
33	516.1411089
34	514.4847282
35	512.1550661
36	509.8913501
37	507.7032176
38	505.7663452
39	503.9522456
40	502.0392475
41	500.159667
42	498.3539688
43	496.6564683
44	495.4027534
45	494.3094889
46	492.7040735
47	491.5518273
48	490.5123925
49	489.4132293
50	488.18594
51	487.049323
52	485.7600596
53	484.6893098
54	483.8833855
55	483.1763329
56	482.6506976
57	481.6682946
58	480.9801266
59	480.261832
60	479.5767886
61	478.92035
62	478.2177746
63	477.2753609
64	476.6418064
65	476.4237918
66	475.7562373
67	474.8991406
68	474.4006533
69	474.2000177
70	473.91369
71	473.4368656
72	473.104094
73	472.5833925
74	472.1552357
75	471.8660824
76	471.504958
77	471.1526718
78	470.6449253
79	469.943727
80	469.7486309
81	469.4466727
82	469.1705013
83	468.6772285
84	468.1972601
85	468.0315179
86	467.7373722
87	467.5763016
88	467.3512143
89	467.1641806
90	466.6403054
91	466.0394379
92	465.7778687
93	465.4026394
94	465.150232
95	464.8541598
96	464.5864953
97	464.4199055
98	463.9189525
99	463.695304
100	463.3724863
101	463.1150915
102	462.9198541
103	462.7556545
104	462.4852065
105	462.3062924
106	462.1949479
107	461.812349
108	461.4156263
109	461.3107912
110	461.0905328
111	460.9843931
112	460.6622559
113	460.50073
114	460.4026597
115	460.1616853
116	459.7283719
117	459.5165435
118	459.2802852
119	459.0539559
120	458.7944295
121	458.5991501
122	458.1703343
123	458.0461008
124	457.7216649
125	457.6950074
126	457.5966142
127	457.2689621
128	456.9582395
129	456.5331005
130	456.4237604
131	456.1909873
132	456.0936272
133	455.8274228
134	455.6810544
135	455.466602
136	455.163076
137	454.9434491
138	454.8575495
139	454.5868485
140	454.3424887
141	454.1203915
142	453.8380129
143	453.6901365
144	453.5524438
145	453.4789368
146	453.3922443
147	453.2511735
148	452.9750604
149	452.6658756
150	452.5273656
151	452.3952412
152	452.2721467
153	452.2302748
154	451.9701399
155	451.8174524
156	451.5474424
157	451.4608274
158	451.2537237
159	451.1719587
160	450.9991338
161	450.7878969
162	450.6242717
163	450.567916
164	450.4059601
165	450.3131258
166	450.183714
167	449.9554557
168	449.8553315
169	449.6562753
170	449.568783
171	449.4092371
172	449.2915043
173	449.2053218
174	449.169429
175	448.970086
176	448.8615473
177	448.6705536
178	448.4930917
179	448.3785354
180	448.2977935
181	448.2396279
182	448.1138165
183	447.8877646
184	447.649846
185	447.554308
186	447.4916541
187	447.3686589
188	447.1378579
189	446.8689719
190	446.6337701
191	446.5201043
192	446.3927458
193	446.1863814
194	446.1771049
195	446.12493
196	446.0172362
197	445.9161439
198	445.7200015
199	445.5311855
200	445.2750446
201	445.2254523
202	445.1666478
203	444.9467505
204	444.7983201
205	444.6424852
206	444.4324059
207	444.2985931
208	444.241924
209	444.231502
210	444.1005978
211	444.0575279
212	443.991798
213	443.8029514
214	443.7637149
215	443.553571
216	443.417558
217	443.3525197
218	443.1554415
219	443.0444166
220	443.0117112
221	442.8416714
222	442.7662489
223	442.6572226
224	442.5220619
225	442.4531473
226	442.3464928
227	442.2664225
228	442.242969
229	442.1575374
230	442.0741012
231	441.9971861
232	441.9572793
233	441.8093083
234	441.6417092
235	441.4998603
236	441.4670348
237	441.2742219
238	441.2439217
239	441.1110648
240	441.0392159
241	441.0166176
242	440.9804082
243	440.8485095
244	440.8070207
245	440.6860528
246	440.4568765
247	440.4410959
248	440.2878831
249	440.2558355
250	440.2158975
251	440.168299
252	440.1576867
253	440.1274474
254	439.9753111
255	439.9551925
256	439.8600597
257	439.8066578
258	439.7746298
259	439.6988278
260	439.5927658
261	439.5532155
262	439.491971
263	439.3932608
264	439.2846216
265	439.1865225
266	439.135272
267	439.0609792
268	438.9377403
269	438.8152417
270	438.7584824
271	438.6517583
272	438.5488366
273	438.4235403
274	438.3091819
275	438.2134232
276	438.1789398
277	438.123395
278	438.0595122
279	438.0240261
280	437.9494492
281	437.8720407
282	437.7980057
283	437.6851985
284	437.6467916
285	437.5129786
286	437.4051031
287	437.3544208
288	437.3072303
289	437.2229491
290	437.1005554
291	437.0159684
292	436.9666945
293	436.8699981
294	436.785174
295	436.6480051
296	436.6225202
297	436.5207694
298	436.3810781
299	436.3103893
300	436.1995172
301	436.1319955
302	436.0520417
303	435.9161096
304	435.8986407
305	435.8427674
306	435.7909352
307	435.6748226
308	435.6047612
309	435.5098
310	435.4505054
311	435.3715413
312	435.2299248
313	435.1494934
314	435.065273
315	434.9259453
316	434.8522085
317	434.7763703
318	434.7200393
319	434.6326418
320	434.5383121
321	434.4722547
322	434.4365612
323	434.3907665
324	434.317608
325	434.2609032
326	434.2186033
327	434.1278165
328	434.0185404
329	433.9437396
330	433.9110111
331	433.7753668
332	433.7208554
333	433.6339845
334	433.395141
335	433.3335108
336	433.2848986
337	433.1882142
338	433.0893062
339	432.971902
340	432.8854581
341	432.8679541
342	432.8096888
343	432.7649615
344	432.6989358
345	432.6061576
346	432.5417931
347	432.4446808
348	432.3508869
349	432.3062357
350	432.2414607
351	432.1303919
352	432.0337171
353	431.9679021
354	431.8362914
355	431.688135
356	431.6318061
357	431.5638992
358	431.458273
359	431.3894248
360	431.2962931
361	431.2210829
362	431.1420105
363	431.0561008
364	431.0057053
365	430.9688215
366	430.8313266
367	430.7773748
368	430.6880841
369	430.6551806
370	430.6265848
371	430.5763261
372	430.507141
373	430.4540308
374	430.4293215
375	430.3220795
376	430.2516214
377	430.1866619
378	430.1325314
379	430.0931071
380	429.979033
381	429.9035103
382	429.7862207
383	429.7487225
384	429.6785389
385	429.6398269
386	429.5965299
387	429.5454303
388	429.4526115
389	429.3773358
390	429.3068789
391	429.2116694
392	429.1793027
393	429.1200507
394	429.043141
395	429.0426176
396	428.9688411
397	428.8644679
398	428.8038008
399	428.7872474
400	428.7872381
401	428.7530048
402	428.7455722
403	428.6321535
404	428.545808
405	428.4870257
406	428.4576212
407	428.4148769
408	428.3527671
409	428.3364562
410	428.2940608
411	428.2936075
412	428.2935988
413	428.2530482
414	428.2117251
415	428.1610942
416	428.1035874
417	428.0735763
418	428.0731367
419	428.0398997
420	428.0098153
421	427.9462571
422	427.8638914
423	427.838763
424	427.7517295
425	427.718264
426	427.7182567
427	427.7182496
428	427.6738318
429	427.6123154
430	427.5394755
431	427.4863886
432	427.4246491
433	427.3567583
434	427.2746905
435	427.2515475
436	427.2020238
437	427.2020171
438	427.1104069
439	427.1100287
440	427.0273336
441	427.0273267
442	426.9751445
443	426.9426316
444	426.9102799
445	426.8495096
446	426.812193
447	426.7834422
448	426.7830906
449	426.7321033
450	426.6434564
451	426.6434502
452	426.6431095
453	426.6194245
454	426.5952466
455	426.5529183
456	426.4607244
457	426.4350217
458	426.4046721
459	426.3742076
460	426.3501314
461	426.2587301
462	426.2587236
463	426.1841036
464	426.1594717
465	426.1173213
466	426.066727
467	426.0287813
468	425.9920837
469	425.9725212
470	425.9464308
471	425.905742
472	425.8164125
473	425.7709191
474	425.7397347
475	425.7097033
476	425.6193879
477	425.6018741
478	425.5771732
479	425.5771677
480	425.5457144
481	425.4832246
482	425.4322454
483	425.315372
484	425.2264621
485	425.1736636
486	425.0461959
487	425.0343339
488	424.9575891
489	424.957583
490	424.904631
491	424.8859797
492	424.8859738
493	424.8594709
494	424.8155959
495	424.750476
496	424.7504704
497	424.6921738
498	424.637227
499	424.6372212
500	424.6070955
501	424.5338208
502	424.5018011
503	424.459194
504	424.413804
505	424.3534273
506	424.2817431
507	424.262342
508	424.2623361
509	424.1960982
510	424.1843846
511	424.1843788
512	424.1318191
513	424.0969711
514	424.0169505
515	423.9445681
516	423.8292574
517	423.7300435
518	423.6634768
519	423.6207247
520	423.5912988
521	423.5378842
522	423.5378784
523	423.5168456
524	423.4727125
525	423.416035
526	423.4160297
527	423.4160245
528	423.4160194
529	423.3788782
530	423.3524851
531	423.3105712
532	423.2722268
533	423.2296255
534	423.2296206
535	423.1820924
536	423.1435205
537	423.118961
538	423.0666561
539	423.016097
540	422.963501
541	422.9097205
542	422.8387785
543	422.8131015
544	422.7869007
545	422.7738274
546	422.7415644
547	422.7288403
548	422.6126671
549	422.6126624
550	422.5855373
551	422.4952676
552	422.4750612
553	422.4158783
554	422.384628
555	422.3450169
556	422.2927107
557	422.2488171
558	422.1625745
559	422.1442907
560	422.1171955
561	422.0751095
562	422.0223344
563	421.9724458
564	421.9139
565	421.8799647
566	421.8558121
567	421.8124667
568	421.7677342
569	421.7433298
570	421.6826889
571	421.6826851
572	421.6826814
573	421.6553223
574	421.604695
575	421.5680205
576	421.5580091
577	421.5580052
578	421.5042498
579	421.4421734
580	421.4071904
581	421.3585024
582	421.3152124
583	421.204994
584	421.1071607
585	421.0723251
586	421.0723211
587	421.0622167
588	420.973919
589	420.9204779
590	420.842888
591	420.8173731
592	420.794175
593	420.7594117
594	420.6959127
595	420.66616
596	420.5701314
597	420.4948251
598	420.4543415
599	420.4190801
600	420.4190756
601	420.4070174
602	420.3899117
603	420.3736837
604	420.3034351
605	420.2804024
606	420.2293851
607	420.1952236
608	420.1026501
609	420.079453
610	420.0597146
611	420.0291367
612	420.0003496
613	420.0003457
614	419.9531695
615	419.922658
616	419.9226543
617	419.9072257
618	419.8596073
619	419.8447792
620	419.7995061
621	419.7865698
622	419.7865662
623	419.742645
624	419.7146429
625	419.692681
626	419.6637248
627	419.6218689
628	419.6126546
629	419.585654
630	419.5392605
631	419.500066
632	419.4079754
633	419.3924696
634	419.3517073
635	419.3164902
636	419.2681699
637	419.2353839
638	419.2132296
639	419.1914172
640	419.1907424
641	419.1783407
642	419.1535035
643	419.1416619
644	419.1199201
645	419.1085059
646	419.1085032
647	419.0952309
648	419.0606224
649	418.998786
650	418.9700782
651	418.9614471
652	418.947734
653	418.9477314
654	418.9268181
655	418.9039334
656	418.8491986
657	418.8296939
658	418.8020061
659	418.7744726
660	418.7419507
661	418.7419481
662	418.6770296
663	418.6466133
664	418.6466107
665	418.6309616
666	418.549145
667	418.5390925
668	418.5068067
669	418.4817465
670	418.4618475
671	418.4148544
672	418.4037742
673	418.3613706
674	418.321793
675	418.2783795
676	418.2693838
677	418.2418764
678	418.2167716
679	418.19284
680	418.1928371
681	418.1925592
682	418.1240991
683	418.0858073
684	418.0407289
685	418.0005403
686	417.9789672
687	417.9629918
688	417.8923171
689	417.887728
690	417.8596053
691	417.8329895
692	417.8044014
693	417.7548689
694	417.6936671
695	417.6570055
696	417.6182034
697	417.5782849
698	417.5360441
699	417.5315192
700	417.5008658
701	417.4647108
702	417.4550551
703	417.409079
704	417.3717061
705	417.3384599
706	417.3384573
707	417.3136777
708	417.2997764
709	417.2898085
710	417.2632863
711	417.2196884
712	417.2034319
713	417.1834526
714	417.1495512
715	417.1284897
716	417.0591347
717	417.043608
718	417.043606
719	417.0361919
720	417.0289257
721	417.0289238
722	417.0115697
723	416.9683736
724	416.9193718
725	416.896187
726	416.8790428
727	416.8725154
728	416.8156529
729	416.807471
730	416.7374271
731	416.7147419
732	416.6830251
733	416.6481834
734	416.6078328
735	416.5894342
736	416.5894324
737	416.5725547
738	416.5484264
739	416.5177414
740	416.5068052
741	416.4981264
742	416.4648361
743	416.4613322
744	416.4457392
745	416.3891899
746	416.3576434
747	416.329215
748	416.3164911
749	416.3106614
750	416.2758806
751	416.2758788
752	416.2425224
753	416.1865853
754	416.1865835
755	416.1556434
756	416.139286
757	416.1107894
758	416.0923132
759	416.0794388
760	416.0731955
761	416.0477855
762	416.0259921
763	415.9920673
764	415.9028873
765	415.8673264
766	415.846675
767	415.82174
768	415.8029238
769	415.7828316
770	415.7553712
771	415.7252246
772	415.7252232
773	415.6793707
774	415.6793694
775	415.6719376
776	415.647125
777	415.6251813
778	415.6019549
779	415.5550664
780	415.5203363
781	415.4971982
782	415.4751407
783	415.4712959
784	415.454192
785	415.4468528
786	415.3880918
787	415.3788155
788	415.3610501
789	415.3403487
790	415.3114316
791	415.274203
792	415.251874
793	415.2357719
794	415.2087784
795	415.1955102
796	415.1805643
797	415.1729159
798	415.150352
799	415.1495854
800	415.1348598
801	415.1103683
802	415.0978468
803	415.0590506
804	415.0485248
805	415.0272307
806	415.0037778
807	414.9953499
808	414.9623677
809	414.9407135
810	414.9326588
811	414.9326581
812	414.9159109
813	414.9038516
814	414.8788219
815	414.8444211
816	414.8264588
817	414.8067305
818	414.801605
819	414.7892474
820	414.7788539
821	414.7721598
822	414.7721592
823	414.7560772
824	414.7560767
825	414.687925
826	414.6734251
827	414.644816
828	414.6291658
829	414.6245297
830	414.6150921
831	414.5891202
832	414.5774094
833	414.5774088
834	414.5774082
835	414.5537713
836	414.5406037
837	414.4918787
838	414.4724098
839	414.3937881
840	414.3697648
841	414.2923406
842	414.2792022
843	414.2699145
844	414.2641686
845	414.2459997
846	414.2459991
847	414.2459986
848	414.2330683
849	414.21718
850	414.1777224
851	414.1552269
852	414.1420364
853	414.1146827
854	414.0983914
855	414.0737873
856	414.0658954
857	414.0507829
858	414.0315521
859	414.0122466
860	413.9873406
861	413.98734
862	413.9433502
863	413.9399743
864	413.92762
865	413.9173396
866	413.8650449
867	413.8491648
868	413.8292205
869	413.801425
870	413.7646771
871	413.7530902
872	413.7513702
873	413.7513695
874	413.7399921
875	413.7243353
876	413.6739922
877	413.6410305
878	413.6230557
879	413.6074513
880	413.6074505
881	413.5446252
882	413.5136803
883	413.5003274
884	413.4781668
885	413.4605587
886	413.4498205
887	413.3804516
888	413.3513325
889	413.3133558
890	413.2999155
891	413.2850329
892	413.2778915
893	413.2559615
894	413.2468818
895	413.2019555
896	413.1887435
897	413.1690737
898	413.1608115
899	413.1332493
900	413.1160478
901	413.0928732
902	413.0804731
903	413.0666135
904	413.0337209
905	413.009642
906	412.9906312
907	412.9775695
908	412.9542596
909	412.9466182
910	412.9283927
911	412.9149916
912	412.9021028
913	412.8961359
914	412.8941218
915	412.8826988
916	412.8824969
917	412.8730428
918	412.8163078
919	412.8024151
920	412.8022194
921	412.7840819
922	412.7595484
923	412.7509929
924	412.7509922
925	412.7460311
926	412.7305007
927	412.698561
928	412.6922022
929	412.6864157
930	412.6165071
931	412.6106959
932	412.598993
933	412.5989921
934	412.5805864
935	412.5517671
936	412.5348555
937	412.5101705
938	412.4992782
939	412.4262439
940	412.3905929
941	412.3137426
942	412.3059408
943	412.2618243
944	412.2346558
945	412.2177805
946	412.2121267
947	412.1898176
948	412.1860017
949	412.1783271
950	412.149959
951	412.1241876
952	412.0913573
953	412.06763
954	412.0468131
955	412.0261516
956	412.0107612
957	411.9922616
958	411.9815381
959	411.9579064
960	411.927127
961	411.8891058
962	411.8693518
963	411.8258147
964	411.817462
965	411.8031031
966	411.791964
967	411.7601796
968	411.7281834
969	411.6963472
970	411.6725694
971	411.6725686
