iter	Passed	Remaining
0	19	19939
1	34	17247
2	48	16134
3	60	15111
4	69	13919
5	80	13339
6	88	12603
7	98	12185
8	104	11472
9	114	11288
10	130	11747
11	160	13230
12	174	13253
13	206	14574
14	220	14505
15	236	14518
16	252	14622
17	268	14634
18	311	16084
19	321	15762
20	331	15455
21	340	15139
22	354	15039
23	365	14862
24	443	17298
25	461	17298
26	480	17301
27	497	17287
28	513	17202
29	527	17067
30	547	17119
31	563	17039
32	576	16892
33	593	16860
34	614	16955
35	632	16938
36	670	17460
37	704	17845
38	730	18010
39	753	18084
40	772	18057
41	793	18103
42	819	18236
43	841	18276
44	860	18266
45	885	18363
46	901	18273
47	928	18407
48	975	18924
49	997	18961
50	1040	19359
51	1093	19943
52	1137	20327
53	1161	20347
54	1204	20697
55	1223	20620
56	1252	20713
57	1270	20627
58	1283	20477
59	1300	20380
60	1317	20283
61	1334	20183
62	1351	20098
63	1371	20062
64	1405	20220
65	1426	20190
66	1446	20142
67	1463	20059
68	1481	19990
69	1502	19957
70	1515	19832
71	1525	19658
72	1535	19494
73	1544	19322
74	1553	19162
75	1562	18990
76	1570	18825
77	1579	18668
78	1589	18526
79	1598	18384
80	1607	18235
81	1615	18090
82	1624	17950
83	1633	17814
84	1642	17682
85	1652	17563
86	1662	17444
87	1671	17326
88	1682	17220
89	1691	17104
90	1702	17005
91	1711	16891
92	1722	16800
93	1732	16701
94	1745	16628
95	1754	16525
96	1764	16422
97	1773	16320
98	1782	16223
99	1799	16195
100	1830	16288
101	1862	16397
102	1875	16335
103	1885	16246
104	1895	16156
105	1904	16064
106	1915	15989
107	1925	15903
108	1934	15816
109	1945	15742
110	1955	15662
111	1964	15576
112	1973	15490
113	1983	15418
114	1994	15352
115	2004	15278
116	2013	15199
117	2023	15122
118	2034	15060
119	2044	14994
120	2054	14922
121	2064	14856
122	2075	14795
123	2086	14740
124	2096	14678
125	2108	14623
126	2118	14562
127	2128	14497
128	2138	14436
129	2147	14370
130	2156	14304
131	2165	14241
132	2175	14178
133	2185	14127
134	2197	14081
135	2206	14019
136	2216	13963
137	2228	13918
138	2238	13867
139	2250	13823
140	2259	13766
141	2268	13709
142	2278	13652
143	2287	13599
144	2299	13557
145	2308	13501
146	2317	13448
147	2327	13396
148	2336	13345
149	2347	13300
150	2356	13248
151	2366	13202
152	2376	13154
153	2387	13114
154	2396	13067
155	2406	13018
156	2415	12970
157	2427	12934
158	2437	12894
159	2446	12846
160	2452	12780
161	2461	12732
162	2469	12678
163	2474	12611
164	2484	12571
165	2494	12532
166	2503	12488
167	2514	12453
168	2524	12413
169	2534	12375
170	2544	12334
171	2555	12302
172	2565	12262
173	2574	12222
174	2584	12184
175	2595	12149
176	2603	12104
177	2612	12063
178	2621	12023
179	2629	11980
180	2638	11940
181	2647	11900
182	2658	11867
183	2667	11828
184	2676	11792
185	2687	11761
186	2697	11726
187	2714	11722
188	2724	11691
189	2735	11663
190	2744	11626
191	2754	11592
192	2763	11557
193	2772	11517
194	2783	11489
195	2794	11464
196	2804	11430
197	2813	11395
198	2822	11360
199	2835	11342
200	2844	11305
201	2853	11271
202	2866	11253
203	2885	11260
204	2913	11300
205	2934	11312
206	2954	11316
207	2962	11281
208	2971	11246
209	2976	11198
210	2983	11157
211	2992	11122
212	3001	11088
213	3010	11058
214	3024	11041
215	3040	11037
216	3054	11021
217	3067	11004
218	3084	10998
219	3100	10992
220	3109	10959
221	3120	10935
222	3129	10905
223	3138	10873
224	3147	10841
225	3155	10808
226	3165	10777
227	3173	10746
228	3182	10713
229	3190	10680
230	3199	10650
231	3208	10622
232	3217	10590
233	3226	10562
234	3235	10533
235	3244	10502
236	3253	10474
237	3262	10444
238	3269	10411
239	3277	10377
240	3285	10347
241	3293	10317
242	3301	10285
243	3310	10256
244	3317	10224
245	3325	10194
246	3334	10164
247	3342	10134
248	3351	10107
249	3357	10072
250	3366	10045
251	3375	10020
252	3384	9992
253	3393	9965
254	3400	9936
255	3409	9909
256	3419	9885
257	3428	9861
258	3437	9835
259	3446	9810
260	3456	9786
261	3465	9762
262	3475	9739
263	3486	9720
264	3496	9696
265	3505	9672
266	3514	9649
267	3524	9626
268	3531	9596
269	3540	9573
270	3552	9555
271	3561	9532
272	3571	9509
273	3586	9503
274	3603	9499
275	3620	9496
276	3636	9491
277	3652	9486
278	3668	9480
279	3684	9473
280	3700	9468
281	3716	9462
282	3734	9461
283	3750	9455
284	3766	9448
285	3781	9439
286	3796	9432
287	3810	9420
288	3820	9398
289	3838	9398
290	3854	9390
291	3869	9382
292	3885	9374
293	3901	9368
294	3918	9364
295	3936	9361
296	3951	9352
297	3966	9344
298	3983	9339
299	3998	9328
300	4012	9317
301	4030	9315
302	4045	9305
303	4060	9296
304	4088	9316
305	4104	9309
306	4120	9301
307	4136	9293
308	4148	9276
309	4165	9272
310	4182	9266
311	4198	9258
312	4215	9252
313	4230	9242
314	4245	9232
315	4261	9224
316	4276	9214
317	4292	9205
318	4308	9197
319	4327	9196
320	4347	9196
321	4357	9174
322	4367	9153
323	4377	9133
324	4386	9110
325	4395	9088
326	4406	9069
327	4423	9062
328	4432	9040
329	4442	9019
330	4451	8998
331	4461	8976
332	4471	8957
333	4480	8935
334	4489	8912
335	4498	8890
336	4508	8869
337	4517	8847
338	4526	8826
339	4536	8805
340	4545	8784
341	4554	8763
342	4564	8742
343	4574	8722
344	4583	8702
345	4593	8682
346	4603	8662
347	4613	8643
348	4623	8624
349	4632	8603
350	4641	8582
351	4651	8562
352	4662	8546
353	4673	8528
354	4682	8507
355	4691	8485
356	4700	8466
357	4711	8449
358	4732	8450
359	4746	8437
360	4755	8418
361	4767	8402
362	4776	8381
363	4786	8362
364	4795	8342
365	4807	8327
366	4816	8308
367	4826	8288
368	4837	8271
369	4847	8253
370	4856	8233
371	4869	8221
372	4880	8203
373	4889	8184
374	4898	8164
375	4908	8146
376	4918	8128
377	4928	8110
378	4937	8090
379	4950	8076
380	4961	8061
381	4973	8046
382	4984	8029
383	4994	8012
384	5005	7995
385	5015	7977
386	5025	7960
387	5034	7941
388	5045	7924
389	5055	7907
390	5065	7889
391	5074	7871
392	5084	7852
393	5094	7835
394	5104	7818
395	5113	7799
396	5122	7781
397	5131	7761
398	5141	7743
399	5150	7726
400	5159	7707
401	5168	7688
402	5177	7669
403	5185	7650
